5.001E-03 -3.481E-03;-5.749E-04 -9.683E-03;-7.124E-03 -3.604E-04;-1.272E-03 9.438E-03;5.853E-03 3.321E-03;4.450E-04 -5.947E-03;-5.693E-03 -4.463E-03;-7.697E-04 -1.909E-03;3.216E-03 -3.546E-03;-9.418E-04 2.013E-03;-3.761E-04 1.143E-02;5.739E-03 6.821E-03;9.211E-04 -6.903E-03;-1.150E-02 -7.873E-03;-9.953E-03 3.004E-03;4.382E-03 6.976E-03;9.941E-03 1.802E-03;3.100E-03 -9.884E-04;-2.382E-03 3.133E-04;-3.415E-03 4.863E-04;-4.793E-03 3.688E-04;-2.643E-03 1.654E-03;5.631E-03 2.914E-04;9.984E-03 -5.514E-03;3.771E-03 -8.951E-03;-3.388E-03 -3.475E-03;-1.187E-03 5.683E-03;6.054E-03 6.526E-03;8.405E-03 -2.551E-03;3.839E-03 -9.629E-03;-2.848E-03 -6.468E-03;-6.437E-03 1.557E-03;-4.397E-03 6.070E-03;8.960E-04 5.292E-03;4.335E-03 9.047E-04;4.334E-03 -4.688E-03;1.992E-03 -7.007E-03;-2.742E-03 -2.518E-03;-5.935E-03 5.867E-03;-5.752E-04 9.442E-03;7.972E-03 3.270E-03;5.469E-03 -4.732E-03;-4.675E-03 -2.960E-03;-5.532E-03 4.151E-03;6.800E-04 2.409E-03;-3.391E-04 -5.598E-03;-2.373E-03 -5.631E-03;5.405E-03 -1.243E-04;8.744E-03 3.270E-05;-2.955E-03 7.395E-04;-9.773E-03 7.630E-03;-7.750E-04 6.184E-03;3.498E-03 -7.826E-03;-4.355E-03 -1.146E-02;-4.714E-03 3.427E-03;3.708E-03 1.320E-02;1.357E-03 7.181E-03;-8.923E-03 2.465E-03;-9.175E-03 5.253E-03;-3.543E-03 4.087E-03;-4.576E-03 3.159E-04;-6.106E-03 3.427E-03;-8.826E-04 6.382E-03;3.002E-03 -5.184E-04
1.512E-03 -2.900E-03;-2.745E-03 -7.241E-03;-5.564E-03 -7.879E-04;-2.778E-04 5.227E-03;4.338E-03 8.661E-04;-2.405E-04 -4.634E-03;-4.360E-03 -3.205E-03;2.902E-04 -1.978E-03;4.131E-03 -2.702E-03;1.703E-03 3.029E-03;2.175E-03 9.974E-03;4.572E-03 4.201E-03;-3.003E-03 -7.312E-03;-1.327E-02 -6.421E-03;-7.424E-03 3.160E-03;8.137E-03 5.023E-03;1.134E-02 8.096E-05;2.236E-03 -8.613E-04;-3.645E-03 8.753E-04;-4.620E-03 -4.306E-04;-5.613E-03 -1.230E-03;-1.377E-03 1.417E-03;8.946E-03 1.257E-03;1.176E-02 -4.719E-03;1.577E-03 -7.790E-03;-7.017E-03 -1.124E-03;-2.648E-03 6.942E-03;6.386E-03 4.100E-03;8.192E-03 -6.336E-03;3.553E-03 -1.011E-02;-1.104E-03 -3.683E-03;-3.723E-03 3.873E-03;-3.908E-03 7.245E-03;-5.861E-04 6.843E-03;3.690E-03 8.226E-04;3.992E-03 -8.431E-03;1.168E-04 -9.763E-03;-3.146E-03 7.037E-04;-2.132E-03 1.115E-02;1.965E-03 1.090E-02;3.507E-03 3.170E-03;-1.380E-03 -2.669E-03;-7.183E-03 -1.617E-03;-5.931E-03 3.157E-03;-1.469E-03 3.950E-03;-1.721E-03 -4.450E-04;-1.927E-03 -3.303E-03;3.425E-03 -2.910E-03;4.609E-03 -2.472E-03;-3.155E-03 1.315E-03;-5.512E-03 8.651E-03;1.930E-03 6.596E-03;2.510E-03 -6.763E-03;-5.789E-03 -1.058E-02;-4.882E-03 2.330E-03;4.083E-03 1.068E-02;2.519E-03 4.826E-03;-6.202E-03 3.524E-04;-5.411E-03 1.857E-03;-1.256E-05 -1.260E-03;-1.924E-03 -4.329E-03;-3.761E-03 3.057E-03;1.642E-03 9.350E-03;4.183E-03 1.586E-03
-2.339E-03 -1.762E-03;-4.257E-03 -4.045E-03;-3.888E-03 -2.209E-03;-6.893E-04 3.680E-05;2.635E-03 -7.553E-04;1.638E-03 -2.704E-03;-1.297E-03 -2.866E-03;-5.219E-04 -1.682E-03;2.401E-03 8.172E-04;3.469E-03 5.039E-03;3.519E-03 6.213E-03;1.099E-03 2.783E-04;-6.960E-03 -5.732E-03;-1.241E-02 -3.164E-03;-4.231E-03 2.956E-03;9.179E-03 3.003E-03;1.071E-02 -8.087E-04;1.960E-03 -1.511E-03;-4.078E-03 -5.698E-04;-5.595E-03 -1.345E-03;-5.290E-03 -7.383E-04;1.129E-03 2.405E-03;1.118E-02 1.953E-03;1.088E-02 -3.863E-03;-1.829E-03 -6.089E-03;-9.877E-03 6.856E-04;-3.528E-03 6.782E-03;6.043E-03 1.588E-03;7.193E-03 -8.099E-03;3.181E-03 -8.466E-03;5.015E-04 -5.721E-04;-1.599E-03 5.241E-03;-3.394E-03 7.504E-03;-9.795E-04 7.644E-03;3.727E-03 4.715E-04;3.039E-03 -1.062E-02;-2.148E-03 -9.525E-03;-2.563E-03 5.237E-03;2.489E-03 1.442E-02;3.814E-03 9.542E-03;-1.395E-03 2.034E-03;-6.464E-03 -9.889E-04;-7.054E-03 -1.858E-03;-4.723E-03 5.960E-04;-1.990E-03 5.638E-03;-5.238E-04 5.190E-03;-5.653E-04 -1.704E-03;-1.024E-03 -5.929E-03;-1.873E-03 -3.592E-03;-2.366E-03 1.968E-03;4.152E-04 6.863E-03;3.955E-03 5.276E-03;6.689E-04 -3.602E-03;-6.388E-03 -7.531E-03;-5.247E-03 1.539E-04;2.329E-03 6.403E-03;3.437E-03 2.445E-03;-9.130E-04 -1.960E-03;-4.364E-04 -2.330E-03;2.065E-03 -5.336E-03;-1.713E-04 -6.320E-03;-1.010E-03 2.865E-03;3.632E-03 1.016E-02;4.302E-03 2.765E-03
-5.523E-03 -2.462E-04;-4.729E-03 -1.094E-03;-2.762E-03 -4.252E-03;-2.202E-03 -4.384E-03;1.885E-03 -1.022E-03;5.657E-03 -1.087E-03;1.776E-03 -3.529E-03;-3.589E-03 -3.325E-04;-1.079E-03 6.421E-03;4.309E-03 6.851E-03;3.011E-03 7.055E-04;-3.957E-03 -3.321E-03;-9.672E-03 -1.943E-03;-9.388E-03 9.867E-04;-1.988E-03 2.361E-03;7.065E-03 1.564E-03;8.882E-03 -1.073E-03;2.784E-03 -3.546E-03;-3.713E-03 -3.458E-03;-6.066E-03 -8.234E-04;-3.599E-03 2.470E-03;4.091E-03 4.063E-03;1.120E-02 1.620E-03;7.496E-03 -3.583E-03;-4.838E-03 -4.832E-03;-1.033E-02 9.025E-04;-2.947E-03 5.077E-03;5.757E-03 -3.219E-04;6.332E-03 -7.764E-03;3.115E-03 -5.836E-03;1.533E-03 1.686E-03;-3.535E-04 5.471E-03;-2.399E-03 7.024E-03;3.614E-05 7.575E-03;4.073E-03 8.143E-05;1.386E-03 -1.054E-02;-4.264E-03 -6.572E-03;-1.309E-03 9.402E-03;6.458E-03 1.470E-02;4.647E-03 6.125E-03;-5.030E-03 5.253E-04;-8.619E-03 -1.294E-05;-5.178E-03 -3.133E-03;-2.909E-03 -1.840E-03;-9.598E-04 7.665E-03;2.495E-03 9.594E-03;4.729E-04 -1.510E-03;-7.205E-03 -8.119E-03;-8.593E-03 -3.018E-03;-4.921E-04 1.948E-03;6.078E-03 2.643E-03;4.527E-03 3.323E-03;-1.208E-03 1.110E-03;-6.013E-03 -3.819E-03;-6.396E-03 -2.944E-03;-1.232E-03 2.004E-03;4.655E-03 9.907E-04;5.853E-03 -4.004E-03;3.647E-03 -5.761E-03;1.431E-03 -6.098E-03;1.496E-04 -4.948E-03;1.220E-03 2.256E-03;4.262E-03 8.284E-03;3.814E-03 2.899E-03
-7.109E-03 1.004E-03;-4.303E-03 7.942E-04;-2.591E-03 -5.819E-03;-3.856E-03 -6.303E-03;2.789E-03 2.748E-05;1.029E-02 -5.323E-04;3.223E-03 -4.804E-03;-8.119E-03 2.050E-03;-4.775E-03 1.229E-02;4.384E-03 7.370E-03;1.041E-03 -5.096E-03;-8.701E-03 -5.289E-03;-1.011E-02 2.971E-03;-5.472E-03 4.636E-03;-1.761E-03 1.630E-03;2.778E-03 1.160E-03;7.081E-03 -1.173E-03;4.568E-03 -6.855E-03;-2.950E-03 -6.478E-03;-5.899E-03 1.871E-03;-9.008E-04 7.602E-03;6.438E-03 5.337E-03;8.715E-03 -1.184E-04;2.832E-03 -4.214E-03;-5.948E-03 -4.728E-03;-7.767E-03 -7.656E-04;-7.665E-04 2.407E-03;6.047E-03 -1.160E-03;6.260E-03 -6.055E-03;3.404E-03 -3.622E-03;1.667E-03 2.423E-03;1.139E-04 4.864E-03;-5.868E-04 6.121E-03;2.207E-03 6.673E-03;4.201E-03 -1.096E-04;-7.394E-04 -8.222E-03;-5.766E-03 -2.160E-03;-8.590E-05 1.171E-02;8.620E-03 1.225E-02;4.863E-03 2.148E-03;-6.073E-03 -7.489E-04;-8.120E-03 3.621E-04;-3.319E-03 -3.925E-03;-1.581E-03 -2.289E-03;9.420E-04 9.698E-03;5.671E-03 1.129E-02;2.835E-04 -2.603E-03;-1.320E-02 -8.630E-03;-1.340E-02 -1.225E-03;1.600E-03 1.032E-03;9.530E-03 -2.244E-03;3.762E-03 1.893E-03;-2.279E-03 5.680E-03;-5.126E-03 -1.167E-03;-8.411E-03 -5.980E-03;-5.177E-03 -8.734E-04;6.503E-03 6.488E-04;1.207E-02 -5.551E-03;5.164E-03 -7.201E-03;-1.668E-03 -3.173E-03;-6.415E-04 -1.316E-03;2.368E-03 6.479E-04;3.533E-03 4.349E-03;3.619E-03 2.280E-03
-6.707E-03 1.212E-03;-3.507E-03 1.434E-03;-3.254E-03 -5.523E-03;-4.490E-03 -4.760E-03;5.184E-03 1.814E-03;1.357E-02 -1.306E-03;2.304E-03 -6.152E-03;-1.245E-02 4.556E-03;-7.201E-03 1.619E-02;4.085E-03 6.271E-03;-9.581E-04 -9.435E-03;-1.087E-02 -5.390E-03;-8.106E-03 7.003E-03;-2.235E-03 6.624E-03;-3.464E-03 1.271E-03;-1.725E-03 1.857E-03;6.162E-03 -1.494E-03;6.523E-03 -1.053E-02;-2.304E-03 -8.299E-03;-5.210E-03 6.177E-03;1.935E-03 1.277E-02;7.370E-03 5.322E-03;4.588E-03 -3.008E-03;-1.401E-03 -5.673E-03;-4.610E-03 -5.839E-03;-2.956E-03 -3.627E-03;2.372E-03 -1.871E-04;6.982E-03 -8.718E-04;7.062E-03 -4.096E-03;3.780E-03 -2.837E-03;8.229E-04 1.679E-03;1.217E-04 4.004E-03;2.017E-03 5.141E-03;4.866E-03 5.151E-03;3.778E-03 -3.976E-06;-2.839E-03 -4.493E-03;-6.447E-03 2.068E-03;3.826E-04 1.157E-02;8.637E-03 8.397E-03;5.272E-03 -8.779E-04;-4.231E-03 -1.447E-03;-6.406E-03 6.688E-04;-3.124E-03 -2.563E-03;-1.416E-03 2.258E-04;2.675E-03 1.093E-02;7.284E-03 9.718E-03;-1.076E-03 -4.205E-03;-1.673E-02 -7.291E-03;-1.519E-02 8.888E-04;2.448E-03 -1.245E-04;9.778E-03 -5.482E-03;2.554E-03 1.328E-03;-2.229E-03 7.893E-03;-4.484E-03 -5.173E-04;-1.054E-02 -7.490E-03;-7.676E-03 -1.397E-03;8.575E-03 8.161E-04;1.560E-02 -6.530E-03;3.833E-03 -6.364E-03;-5.606E-03 1.806E-03;-1.767E-03 2.429E-03;2.419E-03 -1.788E-03;2.268E-03 -1.286E-04;4.375E-03 1.239E-03
-4.656E-03 -6.501E-05;-2.927E-03 1.343E-03;-4.145E-03 -2.419E-03;-3.343E-03 -4.210E-05;8.087E-03 3.503E-03;1.397E-02 -3.132E-03;-5.058E-04 -7.246E-03;-1.480E-02 5.766E-03;-7.499E-03 1.653E-02;4.028E-03 4.176E-03;-1.080E-03 -1.110E-02;-8.964E-03 -4.603E-03;-4.494E-03 8.174E-03;-8.007E-04 6.600E-03;-5.873E-03 1.806E-03;-4.472E-03 3.331E-03;6.175E-03 -2.071E-03;7.591E-03 -1.324E-02;-2.164E-03 -8.339E-03;-4.384E-03 1.035E-02;3.886E-03 1.592E-02;6.818E-03 3.801E-03;4.607E-04 -6.250E-03;-3.899E-03 -7.472E-03;-1.603E-03 -7.462E-03;2.280E-03 -6.251E-03;5.323E-03 -1.650E-03;8.134E-03 2.059E-04;8.267E-03 -2.863E-03;3.840E-03 -3.729E-03;-8.287E-04 5.162E-05;-3.314E-05 3.471E-03;5.001E-03 4.388E-03;7.291E-03 3.342E-03;2.859E-03 2.620E-04;-4.349E-03 -6.294E-04;-6.371E-03 4.822E-03;-2.338E-04 9.480E-03;7.069E-03 4.880E-03;6.543E-03 -2.058E-03;-3.905E-04 -1.526E-03;-5.198E-03 1.555E-03;-5.238E-03 1.745E-03;-2.441E-03 5.223E-03;3.286E-03 1.058E-02;6.459E-03 5.502E-03;-2.599E-03 -5.371E-03;-1.627E-02 -4.705E-03;-1.433E-02 2.595E-03;8.859E-04 -2.333E-04;7.271E-03 -5.460E-03;1.952E-03 9.116E-04;-1.489E-03 6.165E-03;-4.611E-03 -1.534E-03;-1.145E-02 -6.323E-03;-7.519E-03 4.640E-05;9.762E-03 5.790E-04;1.523E-02 -6.967E-03;9.514E-04 -4.196E-03;-8.292E-03 5.956E-03;-2.499E-03 4.424E-03;1.922E-03 -3.935E-03;1.620E-03 -3.488E-03;5.920E-03 -1.359E-04
-1.865E-03 -2.610E-03;-2.875E-03 1.391E-03;-4.489E-03 3.355E-03;-4.667E-04 6.377E-03;1.019E-02 4.386E-03;1.118E-02 -5.374E-03;-3.844E-03 -8.130E-03;-1.416E-02 4.524E-03;-5.669E-03 1.319E-02;4.906E-03 2.266E-03;2.085E-03 -1.001E-02;-3.034E-03 -4.532E-03;-7.623E-04 5.570E-03;-1.329E-03 5.130E-03;-7.264E-03 3.446E-03;-4.414E-03 5.043E-03;6.422E-03 -2.530E-03;6.997E-03 -1.394E-02;-2.673E-03 -7.100E-03;-3.980E-03 1.226E-02;4.268E-03 1.581E-02;5.525E-03 1.363E-03;-1.995E-03 -8.844E-03;-4.411E-03 -8.867E-03;1.285E-03 -8.378E-03;5.837E-03 -7.091E-03;6.886E-03 -1.352E-03;8.759E-03 1.561E-03;9.120E-03 -2.773E-03;3.268E-03 -5.798E-03;-2.975E-03 -1.658E-03;-2.353E-04 3.626E-03;7.774E-03 4.084E-03;9.046E-03 1.590E-03;1.853E-03 3.564E-04;-4.877E-03 2.169E-03;-5.747E-03 5.671E-03;-1.654E-03 6.713E-03;5.013E-03 3.012E-03;8.746E-03 -1.402E-03;3.854E-03 -1.180E-03;-5.509E-03 3.274E-03;-8.962E-03 8.232E-03;-4.105E-03 1.097E-02;2.402E-03 8.416E-03;3.636E-03 2.195E-04;-3.005E-03 -5.540E-03;-1.201E-02 -1.917E-03;-1.233E-02 3.750E-03;-3.110E-03 1.826E-03;3.608E-03 -2.184E-03;2.451E-03 -5.709E-04;-9.672E-04 5.532E-04;-5.414E-03 -2.899E-03;-9.999E-03 -2.406E-03;-4.842E-03 2.162E-03;8.900E-03 -6.333E-04;1.141E-02 -7.014E-03;-1.362E-03 -2.510E-03;-8.346E-03 6.661E-03;-2.479E-03 4.154E-03;1.761E-03 -4.289E-03;2.368E-03 -4.778E-03;7.218E-03 -1.971E-03
6.026E-04 -5.567E-03;-3.258E-03 2.220E-03;-3.788E-03 1.038E-02;3.266E-03 1.239E-02;1.054E-02 4.163E-03;6.185E-03 -7.353E-03;-6.216E-03 -9.071E-03;-1.075E-02 7.102E-04;-2.422E-03 7.570E-03;7.152E-03 1.568E-03;8.544E-03 -7.283E-03;5.136E-03 -6.393E-03;1.662E-03 -1.019E-04;-3.009E-03 3.323E-03;-6.355E-03 5.910E-03;-1.856E-03 6.496E-03;5.978E-03 -2.331E-03;4.655E-03 -1.239E-02;-3.751E-03 -5.867E-03;-4.474E-03 1.055E-02;3.102E-03 1.259E-02;4.662E-03 -9.438E-04;-1.906E-03 -1.001E-02;-3.794E-03 -9.107E-03;2.138E-03 -7.404E-03;6.225E-03 -5.199E-03;6.271E-03 6.875E-04;8.163E-03 2.770E-03;8.980E-03 -3.593E-03;1.968E-03 -8.151E-03;-5.301E-03 -2.813E-03;-5.422E-04 4.531E-03;9.870E-03 4.333E-03;1.013E-02 1.297E-04;1.280E-03 -7.629E-05;-4.341E-03 3.263E-03;-4.753E-03 5.093E-03;-3.105E-03 4.632E-03;3.526E-03 3.148E-03;1.128E-02 3.315E-04;7.026E-03 -7.743E-04;-7.081E-03 5.297E-03;-1.260E-02 1.469E-02;-5.537E-03 1.535E-02;5.155E-04 5.120E-03;3.214E-04 -4.323E-03;-1.649E-03 -4.812E-03;-5.857E-03 1.711E-04;-1.080E-02 4.760E-03;-8.165E-03 6.134E-03;6.318E-04 2.680E-03;3.638E-03 -3.824E-03;-1.450E-03 -7.048E-03;-6.243E-03 -3.208E-03;-6.085E-03 3.056E-03;-1.088E-03 3.589E-03;5.633E-03 -2.638E-03;6.060E-03 -6.977E-03;-1.468E-03 -3.051E-03;-5.845E-03 3.043E-03;-1.734E-03 2.635E-03;2.715E-03 -1.920E-03;4.409E-03 -4.178E-03;6.938E-03 -4.342E-03
1.984E-03 -7.831E-03;-3.695E-03 3.766E-03;-2.121E-03 1.639E-02;6.563E-03 1.605E-02;9.030E-03 3.002E-03;8.535E-04 -8.600E-03;-6.774E-03 -1.019E-02;-5.922E-03 -4.454E-03;1.175E-03 1.975E-03;1.054E-02 2.365E-03;1.655E-02 -4.522E-03;1.271E-02 -1.014E-02;2.060E-03 -6.742E-03;-4.564E-03 2.189E-03;-3.038E-03 8.484E-03;1.814E-03 7.436E-03;4.341E-03 -1.161E-03;1.213E-03 -9.358E-03;-5.195E-03 -5.899E-03;-5.974E-03 5.423E-03;1.128E-03 7.660E-03;5.169E-03 -2.194E-03;3.823E-04 -9.486E-03;-3.447E-03 -7.747E-03;-1.054E-04 -4.015E-03;3.186E-03 -7.037E-04;3.423E-03 3.854E-03;6.078E-03 3.642E-03;7.627E-03 -4.699E-03;7.731E-05 -9.955E-03;-7.573E-03 -3.139E-03;-1.038E-03 5.988E-03;1.116E-02 5.080E-03;1.086E-02 -9.642E-04;1.483E-03 -1.201E-03;-2.966E-03 2.781E-03;-3.443E-03 4.084E-03;-3.725E-03 4.023E-03;3.133E-03 4.658E-03;1.323E-02 2.071E-03;8.479E-03 -7.869E-04;-8.564E-03 6.344E-03;-1.431E-02 1.840E-02;-5.874E-03 1.691E-02;-1.142E-03 1.992E-03;-1.742E-03 -6.883E-03;9.165E-04 -3.793E-03;-5.888E-04 1.256E-03;-1.045E-02 6.138E-03;-1.209E-02 1.137E-02;-5.654E-04 6.714E-03;4.456E-03 -8.278E-03;-3.072E-03 -1.370E-02;-6.379E-03 -1.891E-03;-9.854E-04 8.124E-03;1.807E-03 3.764E-03;9.120E-04 -4.573E-03;1.584E-03 -7.226E-03;7.107E-04 -6.412E-03;-2.254E-03 -3.434E-03;-5.099E-04 1.628E-03;4.996E-03 2.773E-03;6.779E-03 -2.752E-03;4.354E-03 -7.000E-03
2.082E-03 -8.599E-03;-3.799E-03 5.187E-03;-1.416E-04 1.908E-02;8.309E-03 1.624E-02;6.447E-03 1.385E-03;-2.960E-03 -8.932E-03;-5.684E-03 -1.115E-02;-1.522E-03 -8.786E-03;4.069E-03 -1.434E-03;1.397E-02 4.076E-03;2.307E-02 -2.955E-03;1.695E-02 -1.428E-02;6.681E-04 -1.177E-02;-4.992E-03 2.121E-03;1.512E-03 1.031E-02;4.921E-03 7.857E-03;1.809E-03 7.614E-04;-2.257E-03 -6.211E-03;-6.757E-03 -7.566E-03;-8.057E-03 -1.297E-03;-5.479E-04 2.947E-03;7.187E-03 -2.078E-03;3.512E-03 -7.620E-03;-4.438E-03 -4.905E-03;-5.042E-03 1.246E-03;-2.191E-03 5.176E-03;-8.827E-04 7.187E-03;2.894E-03 4.166E-03;5.354E-03 -5.490E-03;-2.108E-03 -1.075E-02;-9.610E-03 -2.716E-03;-1.672E-03 7.636E-03;1.182E-02 6.099E-03;1.158E-02 -1.754E-03;2.442E-03 -2.867E-03;-1.174E-03 1.437E-03;-1.807E-03 3.566E-03;-3.015E-03 4.803E-03;3.701E-03 6.367E-03;1.391E-02 2.913E-03;8.609E-03 -1.712E-03;-8.344E-03 4.959E-03;-1.296E-02 1.743E-02;-4.536E-03 1.551E-02;-1.168E-03 3.290E-04;-1.524E-03 -7.236E-03;3.124E-03 -3.149E-03;1.534E-03 1.702E-03;-1.077E-02 7.952E-03;-1.296E-02 1.525E-02;-1.280E-04 8.059E-03;3.889E-03 -1.212E-02;-5.209E-03 -1.682E-02;-5.630E-03 4.350E-04;3.072E-03 1.114E-02;2.523E-03 3.275E-03;-3.302E-03 -5.381E-03;-4.630E-04 -7.946E-03;3.514E-03 -1.146E-02;3.903E-04 -9.619E-03;8.936E-04 2.436E-03;8.030E-03 8.048E-03;8.214E-03 -1.741E-03;-1.552E-05 -9.329E-03
