-1.574E-03 3.181E-04;1.344E-03 1.359E-03;2.432E-03 6.000E-03;-7.348E-05 5.135E-05;-3.781E-03 1.098E-03;-3.727E-04 9.726E-04;4.211E-03 -2.110E-04;-2.398E-03 1.337E-03;-2.226E-03 -2.578E-03;1.128E-03 7.135E-03;-3.438E-03 -2.611E-03;1.108E-03 1.157E-03;-7.271E-04 9.306E-05;2.451E-03 7.737E-04;-2.398E-03 -2.708E-04;-3.178E-05 -1.156E-03
-1.896E-03 1.132E-04;-1.859E-05 -2.439E-03;1.182E-03 -1.323E-03;-4.000E-04 1.732E-03;2.400E-03 -4.040E-03;9.012E-05 3.058E-04;-1.108E-03 -1.246E-04;-1.132E-03 -1.568E-04;4.446E-03 -1.839E-03;-4.852E-03 -2.624E-04;-1.427E-04 1.157E-03;-1.427E-04 -6.330E-04;4.252E-03 -7.452E-04;-3.292E-03 2.153E-04;-1.161E-03 -1.403E-03;5.398E-03 2.293E-03
4.585E-04 8.592E-04;4.959E-04 5.889E-05;-5.775E-04 2.182E-03;5.490E-03 -1.275E-03;-1.807E-03 2.182E-04;-2.892E-04 2.396E-03;1.025E-03 2.952E-03;-9.270E-04 -3.625E-03;2.100E-03 -9.152E-05;-3.530E-03 5.102E-03;2.709E-03 -2.954E-03;-1.193E-03 2.837E-03;9.418E-06 4.454E-05;-8.424E-04 -3.896E-04;2.708E-03 1.459E-04;-1.874E-03 -9.661E-04
-5.196E-04 4.298E-04;2.646E-03 -8.150E-04;-2.532E-03 1.241E-03;-3.261E-03 -3.939E-03;4.534E-03 -7.433E-05;-1.628E-03 8.145E-04;-1.286E-03 -3.902E-03;1.640E-03 1.441E-03;-6.429E-04 3.334E-03;6.624E-04 -6.475E-03;-9.794E-04 3.056E-03;-8.868E-04 6.323E-04;2.670E-03 1.116E-03;-1.973E-03 -2.202E-03;1.858E-03 -3.964E-05;-1.293E-04 2.929E-03
8.844E-04 1.121E-03;3.425E-04 1.195E-03;-1.826E-03 -1.698E-03;5.019E-03 1.935E-03;-2.630E-03 -2.813E-03;-4.929E-05 1.987E-04;2.092E-04 2.509E-03;3.069E-03 -6.070E-04;-2.276E-03 -3.450E-04;-1.628E-03 -8.904E-04;3.252E-03 1.164E-03;-2.559E-03 1.399E-03;-5.845E-04 -1.310E-03;9.402E-04 -7.057E-04;-6.512E-04 2.661E-03;4.965E-04 -5.310E-03
-3.456E-04 -1.782E-04;1.224E-03 1.167E-03;-1.218E-03 -2.339E-03;1.083E-03 -3.097E-04;-3.204E-03 2.236E-03;2.954E-04 -2.689E-03;1.469E-03 -1.278E-03;-1.675E-03 2.022E-03;-2.172E-03 -1.746E-03;6.493E-03 1.138E-03;-5.140E-03 -1.719E-03;6.671E-04 -7.889E-05;1.766E-03 3.352E-03;-1.508E-03 -9.048E-04;1.901E-03 6.623E-04;-1.903E-04 -3.101E-04
1.438E-05 -1.134E-03;-9.588E-04 -7.109E-04;2.981E-03 -1.617E-03;-1.701E-03 5.649E-03;-2.085E-04 -5.970E-03;1.655E-03 8.212E-04;-2.940E-03 2.357E-03;1.333E-03 -5.408E-04;6.442E-04 -1.317E-03;-1.466E-03 5.061E-04;-3.427E-04 -1.995E-05;-1.313E-03 7.209E-04;1.231E-03 -1.360E-04;-2.030E-03 1.562E-03;-1.625E-03 -5.537E-07;2.650E-03 -3.050E-03
-6.853E-04 8.894E-04;1.353E-03 1.609E-03;7.374E-04 -1.510E-04;-1.568E-03 -2.362E-03;4.628E-04 8.582E-04;-1.063E-03 1.179E-03;5.958E-04 -1.556E-03;-1.935E-04 -1.457E-03;5.297E-04 2.126E-04;-3.352E-04 3.554E-03;7.224E-04 -4.471E-03;1.373E-04 1.529E-03;-5.496E-05 9.039E-04;1.873E-03 -4.114E-05;2.408E-03 4.107E-03;6.127E-04 -1.838E-03
3.487E-03 5.400E-04;2.948E-05 -1.709E-03;5.102E-04 2.912E-03;-2.948E-03 -2.072E-03;5.090E-03 -9.387E-05;-3.064E-03 1.108E-03;-1.156E-03 -8.909E-04;6.780E-04 -3.823E-04;-2.001E-04 1.682E-03;-4.884E-04 -1.930E-03;-7.176E-04 4.457E-04;-1.755E-03 1.030E-03;1.876E-05 -8.830E-04;2.418E-04 1.580E-03;-6.775E-04 4.220E-04;3.380E-03 -1.726E-03
-8.268E-04 1.587E-03;-1.541E-04 3.346E-03;-7.705E-04 -1.907E-03;3.890E-03 -1.245E-03;-3.157E-03 1.813E-03;-4.872E-04 -2.657E-03;2.876E-03 2.393E-03;-2.978E-03 -2.673E-03;9.507E-04 -1.388E-03;4.762E-04 7.004E-04;6.072E-04 -1.038E-03;1.312E-03 1.114E-03;-6.098E-04 -1.272E-03;-3.962E-04 -2.125E-04;3.196E-03 1.821E-04;6.755E-03 7.018E-04
-1.126E-03 1.154E-03;2.957E-03 -1.133E-03;-2.082E-03 9.716E-04;6.894E-04 2.279E-04;6.235E-04 3.603E-04;-1.288E-03 -1.516E-04;1.414E-03 9.354E-04;-5.656E-04 1.102E-04;-3.452E-03 1.804E-03;9.988E-04 -2.833E-03;-2.320E-03 1.656E-03;1.096E-04 -1.558E-04;-9.610E-04 -1.476E-03;-3.391E-03 3.048E-03;1.830E-03 -2.068E-04;-3.551E-05 -1.336E-03
